local,remote,msg_size,bw,send_cpus_used,recv_cpus_used
172.21.20.10,172.21.20.11,64,4578208,86.5,97
172.21.20.10,172.21.20.12,64,4682880,83.5,100
172.21.20.10,172.21.20.13,64,4686464,89,98.5
172.21.20.10,172.21.20.14,64,4563584,92.5,100
172.21.20.10,172.21.20.15,64,4730048,83,100
172.21.20.10,172.21.20.16,64,4588100,92.5,100
172.21.20.10,172.21.20.17,64,4655168,88.5,100
172.21.20.10,172.21.20.18,64,4851648,84,100
172.21.20.10,172.21.20.33,64,4669952,85.5,100
172.21.20.10,172.21.20.36,64,4700402,82.5,100
172.21.20.10,172.21.20.37,64,4807520,80.6,99
172.21.20.10,172.21.20.38,64,4661110,88,100
172.21.20.10,172.21.20.39,64,4672192,86.1,98
172.21.20.10,172.21.20.40,64,4613056,87,98
172.21.20.10,172.21.20.41,64,4739040,86.5,100
172.21.20.10,172.21.20.42,64,4791744,83.5,100
172.21.20.10,172.21.20.43,64,4766272,84.5,98
172.21.20.10,172.21.20.44,64,4790336,81,100
172.21.20.10,172.21.20.45,64,4798304,81.5,99.5
172.21.20.10,172.21.20.46,64,4752320,86,99
172.21.20.10,172.21.20.47,64,3389472,96.5,80.5
172.21.20.10,172.21.20.48,64,4808640,84,100
172.21.20.10,172.21.20.52,64,4637440,85,99
172.21.20.10,172.21.20.54,64,4793120,84.5,100
172.21.20.10,172.21.20.55,64,4908896,82.5,100
172.21.20.10,172.21.20.56,64,4903136,75,100
172.21.20.10,172.21.20.57,64,4931456,71.1,100
172.21.20.10,172.21.20.9,64,4846720,87.1,100
